channelGrouping;date;device.browser;device.browserVersion;device.browserSize;device.operatingSystem;device.operatingSystemVersion;device.isMobile;device.mobileDeviceBranding;device.mobileDeviceModel;device.mobileInputSelector;device.mobileDeviceInfo;device.mobileDeviceMarketingName;device.flashVersion;device.language;device.screenColors;device.screenResolution;device.deviceCategory;fullVisitorId;geoNetwork.continent;geoNetwork.subContinent;geoNetwork.country;geoNetwork.region;geoNetwork.metro;geoNetwork.city;geoNetwork.cityId;geoNetwork.networkDomain;geoNetwork.latitude;geoNetwork.longitude;geoNetwork.networkLocation;sessionId;socialEngagementType;totals.visits;totals.hits;totals.pageviews;totals.transactionRevenue;totals.newVisits;trafficSource.campaign;trafficSource.source;trafficSource.medium;trafficSource.keyword;trafficSource.adwordsClickInfo.criteriaParameters;trafficSource.isTrueDirect;visitId;visitNumber;visitStartTime
Direct;20170830;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;5136946392567650000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;Mountain View;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;5136946392567649854_1504124832;Not Socially Engaged;1;99;57;;0;(not set);(direct);(none);(not provided);not available in demo dataset;VERDADERO;1504124832;2;1504124832
Organic Search;20180223;Chrome;not available in demo dataset;not available in demo dataset;Android;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;mobile;8736951192346840000;Europe;Southern Europe;Italy;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;fastwebnet.it;not available in demo dataset;not available in demo dataset;not available in demo dataset;8736951192346840359_1519427451;Not Socially Engaged;1;99;54;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1519427451;1;1519427451
Organic Search;20180414;Chrome;not available in demo dataset;not available in demo dataset;Android;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;mobile;9669016859482960000;Asia;Southern Asia;India;Maharashtra;(not set);Pune;not available in demo dataset;unknown.unknown;not available in demo dataset;not available in demo dataset;not available in demo dataset;9669016859482956438_1523707897;Not Socially Engaged;1;99;35;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1523707897;1;1523707897
Organic Search;20180421;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;1705359464846280000;Asia;Eastern Asia;China;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;unknown.unknown;not available in demo dataset;not available in demo dataset;not available in demo dataset;1705359464846276744_1524359659;Not Socially Engaged;1;98;87;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1524359659;1;1524359659
Organic Search;20171126;Safari;not available in demo dataset;not available in demo dataset;iOS;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;tablet;9549089852095380000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;9549089852095378957_1511742386;Not Socially Engaged;1;98;78;;0;(not set);google;organic;(not provided);not available in demo dataset;VERDADERO;1511742386;4;1511742386
Organic Search;20180303;Chrome;not available in demo dataset;not available in demo dataset;Android;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;mobile;7375330898831200000;Asia;Southern Asia;India;Tamil Nadu;(not set);Chennai;not available in demo dataset;unknown.unknown;not available in demo dataset;not available in demo dataset;not available in demo dataset;7375330898831202298_1520090320;Not Socially Engaged;1;98;70;;0;(not set);google;organic;(not provided);not available in demo dataset;VERDADERO;1520090320;4;1520090320
Organic Search;20171012;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;3432008561178230000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;comcast.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;3432008561178225237_1507866311;Not Socially Engaged;1;98;66;;0;(not set);google;organic;(not provided);not available in demo dataset;VERDADERO;1507866311;4;1507866311
Organic Search;20180116;Firefox;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;7058734848153270000;Americas;South America;Peru;(not set);(not set);(not set);not available in demo dataset;unknown.unknown;not available in demo dataset;not available in demo dataset;not available in demo dataset;7058734848153265461_1516134139;Not Socially Engaged;1;98;65;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1516134139;1;1516134139
Referral;20171202;Chrome;not available in demo dataset;not available in demo dataset;Linux;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;208847980247548000;Americas;Northern America;United States;New York;New York NY;New York;not available in demo dataset;verizon.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;208847980247547691_1512263280;Not Socially Engaged;1;98;65;;1;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;FALSO;1512263280;1;1512263280
Referral;20180329;Chrome;not available in demo dataset;not available in demo dataset;Chrome OS;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;5123821857297860000;Americas;Northern America;United States;New York;New York NY;New York;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;5123821857297857908_1522366404;Not Socially Engaged;1;98;64;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;VERDADERO;1522366404;7;1522366404
Referral;20171027;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;6351264427170080000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;Sunnyvale;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;6351264427170083706_1509136672;Not Socially Engaged;1;98;61;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;VERDADERO;1509136672;3;1509136672
Organic Search;20180310;Safari;not available in demo dataset;not available in demo dataset;iOS;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;mobile;7791174708728740000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;San Francisco;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;7791174708728740464_1520702887;Not Socially Engaged;1;98;57;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1520702887;1;1520702887
Referral;20170802;Chrome;not available in demo dataset;not available in demo dataset;Chrome OS;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;9637359146386110000;Americas;Northern America;United States;Illinois;Chicago IL;Chicago;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;9637359146386106126_1501700323;Not Socially Engaged;1;98;56;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;VERDADERO;1501700323;10;1501700323
Direct;20180404;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;3458262726307060000;Americas;Northern America;United States;Virginia;Roanoke-Lynchburg VA;Salem;not available in demo dataset;comcastbusiness.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;3458262726307062747_1522847966;Not Socially Engaged;1;98;56;;0;(not set);(direct);(none);(not provided);not available in demo dataset;VERDADERO;1522847966;5;1522847966
Referral;20170816;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;6437802308243720000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;Mountain View;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;6437802308243720163_1502917216;Not Socially Engaged;1;97;80;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;VERDADERO;1502917216;2;1502917216
Organic Search;20180215;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;6542549730670900000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;Sunnyvale;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;6542549730670896370_1518714664;Not Socially Engaged;1;97;75;;0;(not set);google;organic;(not provided);not available in demo dataset;VERDADERO;1518714664;2;1518714664
Organic Search;20180227;Chrome;not available in demo dataset;not available in demo dataset;Chrome OS;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;9455549572770370000;Americas;Northern America;United States;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;suddenlink.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;9455549572770372977_1519789320;Not Socially Engaged;1;97;71;;0;(not set);google;organic;(not provided);not available in demo dataset;VERDADERO;1519789320;5;1519789320
Organic Search;20170823;Firefox;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;2907447531707590000;Asia;Southeast Asia;Thailand;Bangkok;(not set);Bangkok;not available in demo dataset;totbb.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;2907447531707585312_1503525020;Not Socially Engaged;1;97;67;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1503525020;1;1503525020
Referral;20180216;Chrome;not available in demo dataset;not available in demo dataset;Linux;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;28583334155527500;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;Mountain View;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;028583334155527541_1518807672;Not Socially Engaged;1;97;66;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;VERDADERO;1518807672;2;1518807672
Organic Search;20171117;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;9562975743793170000;Asia;Eastern Asia;South Korea;Seoul;(not set);Seoul;not available in demo dataset;unknown.unknown;not available in demo dataset;not available in demo dataset;not available in demo dataset;9562975743793170694_1510943709;Not Socially Engaged;1;97;66;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1510943709;1;1510943709
Direct;20171103;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;950533423538162000;Americas;Northern America;United States;California;Los Angeles CA;Los Angeles;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;0950533423538162266_1509735181;Not Socially Engaged;1;97;64;;1;(not set);(direct);(none);(not provided);not available in demo dataset;VERDADERO;1509735181;1;1509735181
Organic Search;20180328;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;7977104493576050000;Asia;Southeast Asia;Philippines;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;unknown.unknown;not available in demo dataset;not available in demo dataset;not available in demo dataset;7977104493576051609_1522295027;Not Socially Engaged;1;97;60;;1;(not set);google;organic;(not provided);not available in demo dataset;FALSO;1522295027;1;1522295027
Referral;20171026;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;2272385594428740000;Americas;Northern America;United States;California;Los Angeles CA;Los Angeles;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;2272385594428741213_1509076916;Not Socially Engaged;1;97;59;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;VERDADERO;1509076916;4;1509076916
Organic Search;20171010;Chrome;not available in demo dataset;not available in demo dataset;Windows;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;9003594978086540000;Americas;Northern America;United States;Massachusetts;Boston MA-Manchester NH;Boston;not available in demo dataset;unknown.unknown;not available in demo dataset;not available in demo dataset;not available in demo dataset;9003594978086541523_1507657386;Not Socially Engaged;1;97;56;;0;(not set);google;organic;(not provided);not available in demo dataset;VERDADERO;1507657386;10;1507657386
Referral;20170831;Chrome;not available in demo dataset;not available in demo dataset;Chrome OS;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;198573366826423000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;Mountain View;not available in demo dataset;comcastbusiness.net;not available in demo dataset;not available in demo dataset;not available in demo dataset;198573366826423270_1504232562;Not Socially Engaged;1;97;55;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;VERDADERO;1504232562;3;1504232562
Organic Search;20171102;Chrome;not available in demo dataset;not available in demo dataset;Android;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;4797249243409600000;Europe;Eastern Europe;Russia;Moscow;(not set);Moscow;not available in demo dataset;rea.ru;not available in demo dataset;not available in demo dataset;not available in demo dataset;4797249243409596354_1509642285;Not Socially Engaged;1;97;53;;0;(not set);google;organic;(not provided);not available in demo dataset;VERDADERO;1509642285;2;1509642285
Referral;20171017;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;8161225112963030000;Americas;Northern America;United States;California;San Francisco-Oakland-San Jose CA;San Francisco;not available in demo dataset;(not set);not available in demo dataset;not available in demo dataset;not available in demo dataset;8161225112963028635_1508278381;Not Socially Engaged;1;97;52;;0;(not set);mall.googleplex.com;referral;(not provided);not available in demo dataset;FALSO;1508278381;2;1508278381
Organic Search;20171110;Chrome;not available in demo dataset;not available in demo dataset;Macintosh;not available in demo dataset;FALSO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;desktop;5923014411436560000;Asia;Southeast Asia;Philippines;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;unknown.unknown;not available in demo dataset;not available in demo dataset;not available in demo dataset;5923014411436562598_1510319427;Not Socially Engaged;1;97;50;;0;(not set);google;organic;(not provided);not available in demo dataset;VERDADERO;1510319427;4;1510319427
Organic Search;20170907;Safari;not available in demo dataset;not available in demo dataset;iOS;not available in demo dataset;VERDADERO;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;not available in demo dataset;tablet;6065427274814030000;Asia;Southern Asia;India;Delhi;(not set);New Delhi;not available in demo dataset;airtelbroadband.in;not available in demo dataset;not available in demo dataset;not available in demo dataset;6065427274814025505_1504785106;Not Socially Engaged;1;97;47;;0;(not set);google;organic;(not provided);not available in demo dataset;VERDADERO;1504785106;2;1504785106
